,word,frequency
0,not,73
1,she,58
2,all,47
3,you,37
4,my,34
5,no,28
6,know,21
7,will,18
8,well,16
9,us,16
10,we,15
11,never,15
12,nothing,13
13,hope,13
14,family,12
15,make,12
16,gone,12
17,me,12
18,very,11
19,more,11
20,give,11
21,think,11
22,first,11
23,up,10
24,soon,10
25,done,9
26,kind,9
27,herself,9
28,without,9
29,father,9
30,good,8
31,see,8
32,great,8
33,cried,8
34,believe,8
35,certain,8
36,brother,7
37,most,7
38,sister,7
39,cannot,7
40,marry,7
41,ill,7
42,found,7
43,replied,7
44,dear,6
45,love,6
46,thought,6
47,mother,6
48,real,6
49,girl,6
50,together,5
51,lost,5
52,money,5
53,own,5
54,day,5
55,always,5
56,married,5
57,last,5
58,morning,5
59,aunt,5
60,eyes,5
61,journey,5
62,tears,5
63,impossible,5
64,surprise,5
65,marriage,5
66,possible,5
67,home,5
68,power,5
69,false,4
70,uncle,4
71,best,4
72,against,4
73,able,4
74,our,4
75,capable,4
76,indeed,4
77,afraid,4
78,believed,4
79,find,4
80,rest,4
81,carriage,3
82,knowing,3
83,friends,3
84,sense,3
85,misery,3
86,care,3
87,young,3
88,design,3
89,forward,3
90,exactly,3
91,yourself,3
92,distress,3
93,assured,3
94,alarm,3
95,truth,3
96,yes,3
97,night,3
98,vain,3
99,present,3
100,wishes,3
101,better,3
102,favourite,3
103,neglect,3
104,clothes,3
105,intelligence,3
106,prepared,3
107,virtue,3
108,right,3
109,fears,3
110,hopes,3
111,doubt,3
112,comfort,3
113,instantly,3
114,house,3
115,affection,3
116,least,3
117,greatly,3
118,conversation,2
119,engaged,2
120,unfortunate,2
121,children,2
122,party,2
123,heart,2
124,spirits,2
125,trust,2
126,produce,2
127,wife,2
128,regret,2
129,attachment,2
130,interesting,2
131,received,2
132,success,2
133,laughing,2
134,everybody,2
135,world,2
136,daughter,2
137,angel,2
138,reading,2
139,faces,2
140,poor,2
141,sure,2
142,down,2
143,killed,2
144,sight,2
145,grave,2
146,full,2
147,difficulty,2
148,assist,2
149,natural,2
150,absence,2
151,gave,2
152,occasion,2
153,thoughts,2
154,easily,2
155,myself,2
156,worst,2
157,ignorant,2
158,knows,2
159,disgrace,2
160,wish,2
161,daughters,2
162,greater,2
163,talking,2
164,understand,2
165,leaving,2
166,hardly,2
167,shared,2
168,absent,2
169,information,2
170,share,2
171,woman,2
172,friend,2
173,likely,2
174,importance,2
175,loss,2
176,event,2
177,shocked,2
178,purpose,2
179,ruin,2
180,readily,2
181,discover,2
182,interest,2
183,honour,2
184,promised,2
185,horror,2
186,eager,2
187,fear,2
188,bringing,2
189,determined,2
190,pleasure,2
191,seeing,2
192,arrival,2
193,confusion,2
194,hoped,2
195,debt,2
196,thinking,2
197,excuses,2
198,triumph,2
199,especially,2
200,idea,2
201,presence,1
202,security,1
203,prevail,1
204,companion,1
205,face,1
206,employment,1
207,leisure,1
208,beg,1
209,light,1
210,unlikely,1
211,consideration,1
212,inn,1
213,completed,1
214,strongly,1
215,opened,1
216,horrible,1
217,discovered,1
218,risk,1
219,recover,1
220,certainly,1
221,spirit,1
222,guilty,1
223,expecting,1
224,energy,1
225,trembling,1
226,violation,1
227,begin,1
228,niece,1
229,severe,1
230,walking,1
231,answer,1
232,absolutely,1
233,chance,1
234,health,1
235,youth,1
236,afford,1
237,strike,1
238,abundant,1
239,imagine,1
