,word,frequency
0,my,175
1,me,92
2,not,69
3,you,69
4,will,39
5,no,20
6,death,15
7,eyes,14
8,cannot,14
9,friend,14
10,myself,12
11,vengeance,12
12,heart,12
13,all,11
14,die,11
15,own,11
16,more,10
17,life,10
18,first,10
19,misery,10
20,enemy,10
21,hopes,9
22,miserable,9
23,friends,9
24,journey,9
25,sea,9
26,happiness,9
27,know,9
28,never,8
29,hope,8
30,our,8
31,despair,8
32,power,8
33,dead,8
34,live,8
35,soon,8
36,lost,8
37,think,7
38,up,7
39,find,7
40,words,7
41,indeed,7
42,love,7
43,spirit,7
44,destruction,6
45,courage,6
46,gained,6
47,beings,6
48,like,6
49,destroyed,6
50,most,6
51,burning,6
52,died,5
53,mine,5
54,desire,5
55,tale,5
56,remorse,5
57,country,5
58,agony,5
59,greater,5
60,hoped,5
61,thoughts,5
62,night,5
63,we,5
64,glorious,5
65,joy,5
66,imagination,5
67,fiend,5
68,passion,5
69,bitter,5
70,idea,5
71,last,5
72,design,4
73,sister,4
74,gave,4
75,found,4
76,spirits,4
77,danger,4
78,terrific,4
79,mountains,4
80,eternal,4
81,monster,4
82,fear,4
83,thought,4
84,high,4
85,lead,4
86,beloved,4
87,strength,4
88,moments,4
89,sight,4
90,food,4
91,sleep,4
92,without,4
93,face,4
94,dear,4
95,new,4
96,virtue,4
97,crimes,4
98,dogs,4
99,purpose,4
100,full,4
101,down,3
102,ocean,3
103,meet,3
104,victim,3
105,soul,3
106,horror,3
107,exhausted,3
108,lovely,3
109,truth,3
110,cracked,3
111,guest,3
112,create,3
113,world,3
114,peace,3
115,see,3
116,rest,3
117,lose,3
118,pity,3
119,alone,3
120,dreams,3
121,powers,3
122,conceived,3
123,always,3
124,torture,3
125,tears,3
126,animals,3
127,hardly,3
128,brave,3
129,horrible,3
130,increased,3
131,grief,3
132,free,3
133,mind,3
134,make,3
135,unfortunate,3
136,thirst,3
137,revenge,3
138,support,3
139,closed,3
140,opened,3
141,nature,3
142,overcome,3
143,honour,3
144,behold,3
145,difficulty,3
146,unable,3
147,rage,3
148,yourself,3
149,satisfy,3
150,hatred,3
151,bed,3
152,us,3
153,devil,3
154,well,3
155,land,3
156,superior,3
157,against,3
158,distinguished,2
159,south,2
160,light,2
161,funeral,2
162,hands,2
163,hate,2
164,feared,2
165,affection,2
166,guiding,2
167,white,2
168,murder,2
169,ceased,2
170,resolved,2
171,lips,2
172,innocent,2
173,instrument,2
174,information,2
175,arrived,2
176,understand,2
177,devoted,2
178,right,2
179,seized,2
180,slept,2
181,surely,2
182,shout,2
183,breeze,2
184,triumph,2
185,chief,2
186,suffered,2
187,glory,2
188,ideas,2
189,good,2
190,hell,2
191,desired,2
192,wonder,2
193,survive,2
194,native,2
195,content,2
196,prepared,2
197,shut,2
198,captain,2
199,cheeks,2
200,force,2
201,refuse,2
202,justice,2
203,doubt,2
204,enabled,2
205,nothing,2
206,restored,2
207,believe,2
208,aid,2
209,compassion,2
210,happy,2
211,terrible,2
212,poor,2
213,degree,2
214,ignorant,2
215,rivers,2
216,destroy,2
217,enjoyed,2
218,spite,2
219,dark,2
220,eye,2
221,certain,2
222,strongly,2
223,gone,2
224,human,2
225,places,2
226,fresh,2
227,fell,2
228,destiny,2
229,ecstasy,2
230,give,2
231,fire,2
232,provided,2
233,companion,2
234,giving,2
235,executed,2
236,qualities,2
237,animal,2
238,rational,2
239,creation,2
240,criminal,2
241,supported,2
242,great,2
243,worth,2
244,ruin,2
245,knowledge,2
246,confined,2
247,done,2
248,foe,2
249,lives,2
250,fancy,2
251,created,2
252,gentle,2
253,interest,2
254,listened,2
255,conversations,2
256,father,2
257,tremendous,2
258,day,2
259,discovered,2
260,health,2
261,mad,2
262,admiration,2
263,connected,2
264,sorrow,2
265,trust,2
266,infinite,2
267,blood,2
268,heaven,2
269,cut,2
270,selfish,2
271,dread,2
272,everlasting,2
273,complete,2
274,seas,2
275,darkness,1
276,scared,1
277,informed,1
278,sting,1
279,wounds,1
280,cried,1
281,sad,1
282,enthusiasm,1
283,play,1
284,stars,1
285,sun,1
286,very,1
287,seasons,1
288,horizon,1
289,fury,1
290,boat,1
291,grant,1
292,mercy,1
293,trees,1
294,writing,1
295,unconscious,1
296,allow,1
297,broken,1
298,story,1
299,read,1
300,burned,1
301,fine,1
302,determined,1
303,expression,1
304,haunted,1
305,dearest,1
306,gain,1
307,surprise,1
308,narrative,1
309,enjoying,1
310,riding,1
311,distress,1
312,sink,1
313,increase,1
314,enjoy,1
315,dreaming,1
316,youth,1
317,silver,1
318,wife,1
319,finished,1
320,earthquake,1
321,shock,1
322,arose,1
323,vain,1
324,wish,1
325,manners,1
326,elevated,1
327,drunk,1
328,preserved,1
329,believes,1
330,comfort,1
331,shattered,1
332,visit,1
333,waters,1
334,progress,1
335,arrive,1
336,pathetic,1
337,touching,1
338,quick,1
339,literature,1
340,interesting,1
341,gives,1
342,faith,1
343,visible,1
344,believed,1
345,younger,1
346,noble,1
347,prosperity,1
348,blessed,1
349,taste,1
350,profound,1
351,enterprise,1
352,eat,1
353,career,1
354,completed,1
355,useful,1
356,useless,1
357,killed,1
358,union,1
359,chained,1
360,dust,1
361,cooking,1
362,absolutely,1
363,delay,1
364,emotions,1
365,cry,1
366,kind,1
367,thank,1
368,value,1
369,rise,1
370,visited,1
371,sinking,1
372,mountain,1
373,minds,1
374,childhood,1
375,woman,1
376,friendship,1
377,money,1
378,discover,1
379,caught,1
380,suspicion,1
381,false,1
382,fraud,1
383,suspect,1
384,symptoms,1
385,brother,1
386,integrity,1
387,earth,1
388,engaged,1
389,preserve,1
390,conversation,1
391,avoided,1
392,reflect,1
393,none,1
394,incredible,1
395,secured,1
396,regards,1
397,bless,1
398,children,1
399,husband,1
400,prospect,1
401,failing,1
402,tortured,1
403,heavens,1
404,valued,1
405,sky,1
406,reward,1
407,join,1
408,secure,1
409,threatened,1
410,highly,1
411,delayed,1
412,morning,1
413,fears,1
414,declined,1
415,grave,1
416,conflict,1
417,crushed,1
418,hanging,1
419,ate,1
420,forced,1
421,voyage,1
422,possible,1
423,leader,1
424,attend,1
425,answered,1
426,possibility,1
427,troubled,1
428,instantly,1
429,promise,1
430,engage,1
431,expedition,1
432,easily,1
433,mean,1
434,terror,1
435,smooth,1
436,hunger,1
437,difficulties,1
438,severe,1
439,warm,1
440,trial,1
441,mankind,1
442,benefit,1
443,belonging,1
444,adored,1
445,rock,1
446,steady,1
447,cowards,1
448,defeat,1
449,shame,1
450,preparation,1
451,fought,1
452,heroes,1
453,disgrace,1
454,families,1
455,hearts,1
456,retire,1
457,sunny,1
458,begin,1
459,present,1
460,reflection,1
461,islands,1
462,patience,1
463,philosophy,1
464,disappointed,1
465,illness,1
466,fish,1
467,broke,1
468,assured,1
469,cursed,1
470,least,1
471,perfectly,1
472,spring,1
473,sufficient,1
474,assist,1
475,weak,1
476,demands,1
477,draw,1
478,justified,1
479,certainly,1
480,madness,1
481,fit,1
482,breaking,1
483,numerous,1
484,failed,1
485,wisdom,1
486,evil,1
487,refused,1
488,included,1
489,points,1
490,consideration,1
491,chance,1
492,care,1
493,vicious,1
494,respects,1
495,disturbed,1
496,flight,1
497,gun,1
498,armed,1
499,accurate,1
500,succeed,1
501,science,1
502,avoid,1
503,release,1
504,midnight,1
505,inadequate,1
506,express,1
507,enable,1
508,smile,1
509,provide,1
510,dizzy,1
511,arise,1
512,lie,1
513,fairly,1
514,wonderful,1
515,beach,1
516,advance,1
517,vision,1
518,window,1
519,colour,1
520,hair,1
521,coffin,1
522,wound,1
523,presence,1
524,forget,1
525,raise,1
526,suspended,1
527,dying,1
528,answer,1
529,resolution,1
530,dream,1
531,conscience,1
532,advantages,1
533,speed,1
534,music,1
535,execution,1
536,huge,1
537,guide,1
538,corpse,1
539,imagine,1
540,violence,1
541,choice,1
542,riot,1
543,she,1
544,slave,1
545,deadly,1
546,accomplished,1
547,threat,1
548,envy,1
549,hills,1
550,expressions,1
551,touched,1
552,ended,1
553,completion,1
554,mourn,1
555,ruins,1
556,fail,1
557,safety,1
558,weep,1
559,memory,1
560,satisfied,1
561,suffer,1
562,wished,1
563,guilt,1
564,crime,1
565,devotion,1
566,capable,1
567,excellent,1
568,fame,1
569,angel,1
570,fallen,1
571,goodness,1
572,majesty,1
573,beauty,1
574,visions,1
575,sins,1
576,child,1
577,saviour,1
578,desires,1
579,wasting,1
580,living,1
581,injured,1
582,helpless,1
583,murdered,1
584,true,1
585,kicked,1
586,abortion,1
587,abandoned,1
588,perform,1
589,slow,1
590,yours,1
591,future,1
592,haunt,1
593,equal,1
594,lies,1
595,worthy,1
596,curious,1
597,afford,1
598,globe,1
599,quit,1
600,waves,1
601,thinks,1
602,warmth,1
603,images,1
604,sense,1
605,better,1
606,cherished,1
607,alive,1
608,torn,1
609,birds,1
610,summer,1
