,word,frequency
0,my,349
1,me,120
2,not,85
3,you,70
4,all,42
5,more,41
6,life,41
7,we,34
8,will,34
9,father,31
10,our,30
11,most,30
12,myself,29
13,no,28
14,own,25
15,she,25
16,mind,23
17,first,22
18,science,21
19,day,20
20,never,20
21,very,20
22,nature,19
23,us,17
24,friend,17
25,human,17
26,soul,16
27,natural,16
28,up,16
29,spirit,15
30,greatest,15
31,soon,15
32,great,15
33,eyes,14
34,death,14
35,like,13
36,acquainted,13
37,philosophy,13
38,child,13
39,world,13
40,mother,13
41,knowledge,13
42,study,12
43,found,12
44,dear,12
45,new,12
46,light,11
47,well,11
48,thought,11
49,hope,10
50,grief,10
51,country,10
52,heart,10
53,love,10
54,house,10
55,studies,10
56,modern,10
57,discovery,10
58,success,9
59,nothing,9
60,affection,9
61,engaged,9
62,cannot,9
63,misery,9
64,desire,9
65,enthusiasm,9
66,mine,9
67,indeed,8
68,delight,8
69,make,8
70,degree,8
71,books,8
72,present,8
73,tale,8
74,read,8
75,power,8
76,good,8
77,creation,8
78,voyage,8
79,alone,7
80,evil,7
81,see,7
82,replied,7
83,enterprise,7
84,easily,7
85,words,7
86,without,7
87,desired,7
88,native,7
89,know,7
90,night,7
91,thoughts,7
92,land,7
93,sister,7
94,courage,6
95,always,6
96,imagination,6
97,spirits,6
98,sea,6
99,old,6
100,home,6
101,loved,6
102,resolved,6
103,kindness,6
104,parents,6
105,allow,6
106,progress,6
107,wonderful,6
108,powers,6
109,lips,6
110,professor,6
111,smile,6
112,gave,6
113,care,6
114,fixed,6
115,purpose,6
116,future,6
117,last,6
118,poor,6
119,morning,6
120,hands,6
121,remember,5
122,eye,5
123,admiration,5
124,determined,5
125,believed,5
126,youth,5
127,prospect,5
128,noble,5
129,wonder,5
130,pleasure,5
131,learn,5
132,find,5
133,sense,5
134,paid,5
135,education,5
136,favourite,5
137,happiness,5
138,lost,5
139,greater,5
140,true,5
141,sight,5
142,certainly,5
143,despair,5
144,passion,5
145,sufficient,5
146,brother,5
147,accompanied,5
148,branches,5
149,promised,5
150,give,5
151,broken,4
152,destroyed,4
153,hopes,4
154,arrived,4
155,heaven,4
156,possible,4
157,dream,4
158,herself,4
159,happy,4
160,proceed,4
161,better,4
162,interest,4
163,story,4
164,chemistry,4
165,beautiful,4
166,secure,4
167,promise,4
168,recovered,4
169,act,4
170,safety,4
171,poets,4
172,visions,4
173,died,4
174,danger,4
175,visited,4
176,employment,4
177,support,4
178,daughter,4
179,forget,4
180,devoted,4
181,poverty,4
182,friends,4
183,useless,4
184,beauty,4
185,calm,4
186,university,4
187,think,4
188,birth,4
189,ocean,4
190,gone,4
191,rest,4
192,dark,4
193,succeed,4
194,beloved,4
195,bless,4
196,real,4
197,discovered,4
198,excited,4
199,sleep,4
200,thirst,4
201,down,4
202,genius,4
203,gentle,4
204,attracted,4
205,snow,4
206,begin,4
207,health,4
208,answer,4
209,glory,4
210,fancy,3
211,heavens,3
212,manners,3
213,wished,3
214,marriage,3
215,living,3
216,union,3
217,children,3
218,together,3
219,visit,3
220,anxiety,3
221,dogs,3
222,suffered,3
223,memory,3
224,facts,3
225,able,3
226,severe,3
227,dawn,3
228,relation,3
229,yourself,3
230,arise,3
231,proceeded,3
232,communication,3
233,romantic,3
234,failure,3
235,wonders,3
236,doubt,3
237,cultivated,3
238,events,3
239,glance,3
240,event,3
241,destiny,3
242,leisure,3
243,stars,3
244,discover,3
245,least,3
246,arrive,3
247,fever,3
248,excellent,3
249,ideas,3
250,large,3
251,friendship,3
252,violent,3
253,fortune,3
254,face,3
255,distinguished,3
256,imagine,3
257,ruin,3
258,animal,3
259,experienced,3
260,summer,3
261,instruments,3
262,earth,3
263,corruption,3
264,nights,3
265,blood,3
266,vain,3
267,son,3
268,dead,3
269,advanced,3
270,information,3
271,improvements,3
272,joy,3
273,tenderness,3
274,rose,3
275,attending,3
276,attachment,3
277,dangerous,3
278,regret,3
279,masters,3
280,evening,3
281,destruction,3
282,impossible,3
283,scientific,3
284,obtained,3
285,authors,3
286,air,3
287,restored,3
288,considerable,3
289,sweet,3
290,seas,3
291,composed,3
292,infant,3
293,received,3
294,kind,3
295,foundations,3
296,practical,3
297,wreck,3
298,sweetness,3
