,word,frequency
0,not,338
1,all,179
2,you,172
3,no,157
4,more,128
5,up,99
6,we,99
7,will,95
8,like,89
9,without,68
10,very,66
11,great,59
12,first,56
13,me,56
14,us,54
15,light,54
16,right,53
17,water,52
18,eyes,50
19,old,48
20,dead,46
21,nothing,46
22,good,44
23,death,42
24,well,42
25,terrible,39
26,thought,39
27,air,39
28,life,39
29,face,38
30,down,37
31,she,36
32,our,36
33,night,35
34,earth,35
35,certain,35
36,day,34
37,human,34
38,know,33
39,found,33
40,against,33
41,people,33
42,my,32
43,last,32
44,hands,30
45,see,29
46,house,29
47,always,28
48,young,28
49,child,28
50,make,28
51,father,27
52,killed,27
53,own,26
54,possible,24
55,done,24
56,window,24
57,reached,24
58,fell,24
59,fire,23
60,most,23
61,reader,23
62,open,23
63,soul,22
64,never,21
65,ideal,21
66,replied,21
67,opened,21
68,full,21
69,alone,21
70,sun,21
71,presence,20
72,closed,20
73,die,20
74,think,19
75,children,19
76,houses,19
77,idea,19
78,wounded,18
79,progress,18
80,blood,18
81,true,18
82,war,18
83,present,18
84,blind,17
85,lost,17
86,darkness,17
87,shore,17
88,attack,17
89,son,17
90,force,17
91,gun,16
92,evening,16
93,social,16
94,low,16
95,carriage,16
96,assault,16
97,river,16
98,hope,16
99,forced,15
100,poor,15
101,love,15
102,grand,15
103,find,15
104,raised,15
105,breast,14
106,mother,14
107,horror,14
108,bed,14
109,knows,14
110,cut,14
111,fallen,14
112,large,14
113,eye,14
114,produced,14
115,words,14
116,battle,14
117,combat,14
118,beginning,14
119,world,13
120,caught,13
121,gave,13
122,free,13
123,glance,13
124,struck,13
125,smoke,13
126,rest,13
127,guns,13
128,impossible,13
129,white,13
130,future,12
131,mind,12
132,seized,12
133,better,12
134,garden,12
135,heart,12
136,cake,12
137,soon,12
138,sight,12
139,instant,12
140,touched,12
141,fault,12
142,women,12
143,gallery,12
144,conscience,11
145,high,11
146,gloom,11
147,sky,11
148,top,11
149,supreme,11
150,bullet,11
151,making,11
152,shot,11
153,able,11
154,rain,11
155,civilization,11
156,profound,11
157,fired,11
158,agony,11
159,give,11
160,daylight,11
161,living,11
162,evil,11
163,broken,11
164,smile,11
165,advance,11
166,gaze,11
167,fear,11
168,tomb,11
169,ideas,10
170,happy,10
171,branches,10
172,visible,10
173,truth,10
174,dawn,10
175,straight,10
176,simple,10
177,horrible,10
178,rose,10
179,grave,10
180,ended,10
181,justice,10
182,live,10
183,stream,10
184,basket,10
185,plane,10
186,morning,10
187,dark,10
188,cried,10
189,abandoned,10
190,disappeared,10
191,breath,10
192,ball,10
193,doubt,10
194,walked,10
195,heaven,10
196,hair,10
197,walk,10
198,herself,10
199,strength,9
200,exhausted,9
201,nature,9
202,liberty,9
203,cry,9
204,woman,9
205,bore,9
206,least,9
207,difficulty,9
208,touch,9
209,wounds,9
210,flowers,9
211,fixed,9
212,useless,9
213,kill,9
214,proceeded,9
215,windows,9
216,violence,9
217,trees,9
218,advanced,9
219,bullets,9
220,new,8
221,power,8
222,pistol,8
223,danger,8
224,shots,8
225,hungry,8
226,moments,8
227,dream,8
228,remember,8
229,certainly,8
230,understood,8
231,thinking,8
232,gold,8
233,coat,8
234,sufficient,8
235,grandfather,8
236,recognized,8
237,understand,8
238,service,8
239,lying,8
240,thanks,8
241,behold,8
242,received,8
243,allow,8
244,millions,8
245,greater,8
246,points,8
247,bad,8
248,seeing,8
249,peace,8
250,raise,7
251,tiger,7
252,perfectly,7
253,infinite,7
254,network,7
255,universal,7
256,leaving,7
257,act,7
258,together,7
259,dying,7
260,false,7
261,chance,7
262,existed,7
263,fought,7
264,yourself,7
265,sweet,7
266,beings,7
267,clear,7
268,fist,7
269,family,7
270,disappear,7
271,picked,7
272,science,7
273,fresh,7
274,attacked,7
275,arrive,7
276,occasion,7
277,slipped,7
278,rise,7
279,aid,7
280,accepted,7
281,desperate,7
282,conscious,7
283,violent,7
284,star,7
285,stars,7
286,arose,7
287,easily,7
288,surprise,7
289,rising,7
290,shoulders,7
291,beach,7
292,forward,7
293,offered,7
294,asleep,7
295,elder,7
296,ceased,7
297,captured,7
298,terror,6
299,sunlight,6
300,arrival,6
301,waiting,6
302,imagine,6
303,laugh,6
304,weapon,6
305,built,6
306,places,6
307,spring,6
308,shout,6
309,clouds,6
310,stopped,6
311,alarm,6
312,engaged,6
313,lion,6
314,horizon,6
315,best,6
316,operation,6
317,shut,6
318,favor,6
319,equal,6
320,brain,6
321,emerging,6
322,mothers,6
323,cannot,6
324,raising,6
325,brother,6
326,superior,6
327,allowing,6
328,drawing,6
329,condemned,6
330,recognize,6
331,prisoner,6
332,lies,6
333,divine,6
334,sea,6
335,cat,6
336,talk,6
337,special,6
338,exists,6
339,wish,6
340,birds,6
341,beauty,6
342,wished,6
343,beating,6
344,arrived,6
345,hell,6
346,worthy,6
347,struggle,6
348,hardly,6
349,rage,6
350,support,6
351,beautiful,6
352,care,6
353,anxiety,6
354,finished,6
355,armed,6
356,lips,6
357,pure,6
358,nations,6
359,green,6
360,fast,6
361,easy,6
362,pity,6
363,joy,6
364,cries,5
365,played,5
366,calm,5
367,monster,5
368,king,5
369,worse,5
370,broke,5
371,fight,5
372,captain,5
373,dressed,5
374,heroes,5
375,myself,5
376,committed,5
377,save,5
378,big,5
379,home,5
380,land,5
381,girls,5
382,bread,5
383,alive,5
384,real,5
385,humanity,5
386,late,5
387,health,5
388,proceed,5
389,difficult,5
390,trust,5
391,badly,5
392,glow,5
393,sleep,5
394,gutter,5
395,provided,5
396,suffering,5
397,rights,5
398,faces,5
399,artillery,5
400,capable,5
401,pale,5
402,succeeded,5
403,desires,5
404,book,5
405,embrace,5
406,legs,5
407,risk,5
408,flight,5
409,fatal,5
410,growing,5
411,opening,5
412,breathing,5
413,thoughts,5
414,suffered,5
415,memory,5
416,listened,5
417,spite,5
418,tragic,5
419,empty,5
420,delivered,5
421,torn,5
422,shock,5
423,natural,5
424,talking,5
425,confusion,5
426,giving,5
427,satisfied,5
428,sense,5
429,result,5
430,safety,5
431,sink,5
432,suicide,5
433,executed,5
434,despair,5
435,sufficiently,5
436,drink,5
437,respect,5
438,accept,5
439,interests,5
440,eat,5
441,creation,5
442,angel,5
443,bleeding,5
444,complete,5
445,misery,5
446,lacking,5
447,school,5
448,chaos,5
449,connected,5
450,show,5
451,waters,4
452,intelligence,4
453,forgotten,4
454,resolution,4
455,visit,4
456,hero,4
457,murder,4
458,surprising,4
459,lives,4
460,supporting,4
461,fury,4
462,epic,4
463,country,4
464,fighting,4
465,finish,4
466,wrath,4
467,gone,4
468,remembered,4
469,goal,4
470,rare,4
471,lie,4
472,money,4
473,fever,4
474,flower,4
475,frightened,4
476,succeed,4
477,genius,4
478,hatred,4
479,youth,4
480,floating,4
481,shelter,4
482,falling,4
483,completed,4
484,rude,4
485,wonderful,4
486,centuries,4
487,facts,4
488,join,4
489,philosophy,4
490,majesty,4
491,shares,4
492,prison,4
493,clothes,4
494,conflict,4
495,noise,4
