,word,frequency
0,not,3679
1,you,2919
2,all,2058
3,she,1659
4,no,1578
5,will,1179
6,me,1149
7,more,1107
8,my,987
9,we,934
10,like,931
11,very,902
12,up,892
13,old,839
14,good,686
15,without,667
16,day,660
17,nothing,619
18,first,555
19,eyes,537
20,see,522
21,us,518
22,know,517
23,thought,489
24,great,465
25,child,443
26,well,412
27,young,407
28,night,406
29,life,406
30,right,404
31,light,398
32,people,394
33,house,390
34,woman,388
35,never,370
36,make,340
37,father,340
38,own,329
39,most,329
40,love,326
41,air,325
42,last,319
43,face,319
44,our,310
45,replied,309
46,always,306
47,down,301
48,against,298
49,soul,296
50,found,271
51,poor,271
52,certain,270
53,words,248
54,bed,248
55,evening,243
56,morning,233
57,heart,233
58,garden,232
59,white,231
60,dead,228
61,hands,227
62,mind,226
63,done,221
64,opened,219
65,terrible,218
66,full,218
67,children,216
68,think,215
69,herself,213
70,large,211
71,mother,210
72,open,209
73,human,205
74,death,204
75,girl,203
76,alone,200
77,world,199
78,fell,196
79,idea,192
80,water,182
81,possible,180
82,earth,174
83,window,167
84,true,164
85,give,163
86,fire,163
87,raised,159
88,lost,159
89,glance,159
90,reached,154
91,women,151
92,caught,151
93,low,148
94,read,146
95,myself,144
96,making,143
97,hair,143
98,happy,139
99,joy,139
100,sight,138
101,closed,137
102,gave,136
103,presence,135
104,darkness,134
105,seized,132
106,live,132
107,fine,132
108,eye,129
109,find,129
110,present,129
111,smile,128
112,knows,128
113,nature,127
114,reader,126
115,better,126
116,money,125
117,battle,125
118,rest,124
119,understand,124
120,new,122
121,able,122
122,cried,122
123,visible,120
124,daughter,119
125,coat,119
126,rose,119
127,grave,119
128,beginning,117
129,war,117
130,grand,115
131,grandfather,115
132,sun,115
133,die,114
134,dark,113
135,trees,112
136,arrived,110
137,least,109
138,doubt,109
139,broken,109
140,profound,108
141,sister,107
142,force,107
143,beautiful,106
144,together,106
145,living,106
146,disappeared,105
147,cannot,104
148,cut,104
149,country,102
150,recognized,101
151,truth,101
152,gone,101
153,paid,101
154,received,101
155,fallen,100
156,hardly,100
157,happiness,100
158,bad,99
159,family,99
160,bread,98
161,wish,98
162,evil,97
163,yourself,97
164,pretty,96
165,houses,95
166,conscience,95
167,girls,95
168,struck,94
169,breath,94
170,impossible,94
171,blood,93
172,carriage,92
173,ideas,92
174,candle,91
175,future,91
176,moments,91
177,liberty,90
178,brother,90
179,produced,89
180,heaven,89
181,loved,89
182,simple,88
183,wife,88
184,social,88
185,soon,88
186,horse,87
187,instant,87
188,understood,87
189,sleep,87
190,peace,86
191,gaze,85
192,occasion,85
193,fear,85
194,book,84
195,walked,83
196,husband,83
197,laugh,83
198,thoughts,83
199,pale,83
200,flowers,83
201,sad,82
202,succeeded,80
203,boulevard,80
204,prison,80
205,windows,80
206,high,79
207,forest,79
208,top,79
209,killed,79
210,existed,78
211,horrible,78
212,fixed,78
213,home,78
214,eat,78
215,big,78
216,perfectly,77
217,progress,77
218,care,76
219,deal,76
220,touched,75
221,rich,75
222,wine,75
223,noise,75
224,dressed,75
225,power,74
226,fault,74
227,terror,74
228,cry,74
229,certainly,74
230,crime,74
231,sky,74
232,asleep,74
233,forced,73
234,composed,73
235,prisoner,73
236,real,73
237,destiny,72
238,sure,72
239,honest,72
240,coffin,71
241,shoes,71
242,justice,71
243,service,71
244,walk,71
245,fashion,71
246,despair,70
247,thinking,70
248,misery,70
249,listened,69
250,gentle,69
251,son,69
252,hope,69
253,ideal,68
254,recognize,67
255,wounded,67
256,worthy,67
257,beings,67
258,blind,66
259,silver,66
260,fresh,66
261,spring,66
262,rain,66
263,seeing,66
264,talking,66
265,walking,65
266,breast,65
267,gentleman,65
268,civilization,64
269,friends,64
270,respect,64
271,divine,64
272,wrong,64
273,play,64
274,opening,63
275,memory,63
276,condemned,63
277,stars,63
278,shut,63
279,waiting,63
280,free,63
281,persons,63
282,chance,63
283,gloom,62
284,gun,62
285,dropped,62
286,green,62
287,attack,61
288,dream,61
289,finished,61
290,behold,61
291,wrath,60
292,calm,60
293,believe,60
294,virtue,60
295,sweet,60
296,bore,60
297,stupid,60
298,talk,60
299,youth,59
300,pity,59
301,honor,59
302,mean,59
303,died,59
304,complete,59
305,flight,59
306,tomb,59
307,sense,59
308,shoulders,58
309,absolutely,58
310,conscious,58
311,king,58
312,falling,58
313,dawn,58
314,fatal,58
315,exists,57
316,ended,57
317,horror,57
318,lies,57
319,lips,57
320,horses,57
321,rags,57
322,gold,57
323,violent,56
324,none,56
325,spite,56
326,purpose,56
327,advanced,56
328,smoke,56
329,suffering,55
330,belonged,55
331,advance,55
332,rise,55
333,spirit,55
334,pure,55
335,desire,55
336,pistol,54
337,straight,54
338,expression,54
339,events,54
340,picked,53
341,knowing,53
342,false,53
343,strength,53
344,gently,53
345,unhappy,53
346,cemetery,53
347,elder,53
348,best,53
349,wood,52
350,daylight,52
351,allow,52
352,shop,52
353,horizon,52
354,infinite,52
355,yes,52
356,saved,52
357,committed,52
358,trembling,51
359,branches,51
360,inn,51
361,simply,51
362,laughing,51
363,angel,51
364,easy,51
365,clouds,51
366,theft,51
367,stopped,51
368,forgotten,51
369,badly,51
370,story,50
371,trouble,50
372,doll,50
373,answered,50
374,combat,50
375,result,50
376,drink,50
377,grass,50
378,ready,50
379,rare,50
380,dying,50
381,remember,50
382,act,49
383,dog,49
384,birds,49
385,greatly,49
386,innocent,49
387,philosophy,49
388,shock,49
389,armed,49
390,beauty,49
391,difficulty,49
392,fast,49
393,language,49
394,handsome,48
395,fortune,48
396,points,48
397,village,48
398,friend,48
399,flag,47
400,severe,47
401,please,47
402,ill,47
403,natural,47
404,empty,47
405,lie,47
406,troubled,46
407,grow,46
408,lives,46
409,offered,46
410,devil,46
411,places,46
