,word,frequency
0,all,164
1,not,126
2,like,62
3,old,60
4,me,55
5,my,49
6,more,47
7,no,47
8,you,46
9,last,44
10,will,44
11,up,43
12,down,39
13,we,38
14,sea,33
15,eyes,29
16,own,27
17,see,25
18,whale,23
19,very,22
20,fire,20
21,most,20
22,world,19
23,sun,19
24,good,19
25,never,18
26,without,18
27,boat,17
28,life,17
29,cried,16
30,water,16
31,us,16
32,day,16
33,light,16
34,against,15
35,art,14
36,well,14
37,make,14
38,certain,14
39,dead,14
40,live,13
41,face,13
42,poor,13
43,high,13
44,done,12
45,heart,12
46,seas,12
47,instant,11
48,great,11
49,coffin,11
50,fair,11
51,know,11
52,thought,10
53,living,10
54,die,10
55,soul,10
56,soon,10
57,full,10
58,eye,10
59,mind,10
60,present,9
61,nothing,9
62,legs,9
63,always,9
64,death,9
65,found,9
66,dying,9
67,new,9
68,voyage,9
69,hands,9
70,first,9
71,mine,8
72,think,8
73,air,8
74,morning,8
75,game,8
76,mate,7
77,night,7
78,together,7
79,forward,7
80,dark,7
81,sight,7
82,right,7
83,woe,7
84,waves,7
85,find,7
86,land,7
87,sailing,6
88,aboard,6
89,darkness,6
90,glad,6
91,laugh,6
92,children,6
93,mad,6
94,died,6
95,sails,6
96,numerous,6
97,gone,6
98,our,6
99,home,6
100,sky,6
101,blood,6
102,earth,6
103,soft,6
104,fear,6
105,higher,5
106,midnight,5
107,large,5
108,she,5
109,gloom,5
110,play,5
111,equally,5
112,clear,5
113,drive,5
114,believe,5
115,wonder,5
116,heaven,5
117,alone,5
118,received,5
119,wife,5
120,kill,5
121,faith,5
122,wood,5
123,better,5
124,breeze,5
125,sing,5
126,white,5
127,waters,5
128,burning,5
129,open,5
130,fixed,5
131,power,5
132,visible,4
133,spirit,4
134,show,4
135,golden,4
136,true,4
137,sleep,4
138,deadly,4
139,ocean,4
140,pilot,4
141,young,4
142,fish,4
143,top,4
144,secured,4
145,fight,4
146,precise,4
147,dies,4
148,cry,4
149,hint,4
150,kind,4
151,lies,4
152,violent,4
153,understand,4
154,sweet,4
155,lost,4
156,stars,4
157,fancy,4
158,sailor,4
159,give,4
160,nature,4
161,thoughts,4
162,words,4
163,truly,4
164,caught,4
165,strike,4
166,best,4
167,savage,4
168,calm,4
169,vain,4
170,struck,4
171,immortal,4
172,worship,4
173,brave,4
174,shot,4
175,fast,4
176,mercy,4
177,cannot,4
178,myself,4
179,heavens,4
180,doom,4
181,survive,4
182,boy,3
183,tiger,3
184,rays,3
185,god,3
186,worse,3
187,engaged,3
188,knows,3
189,evil,3
190,complete,3
191,real,3
192,mean,3
193,globe,3
194,harm,3
195,human,3
196,extra,3
197,removed,3
198,luck,3
199,drawing,3
200,easy,3
201,hanging,3
202,suspended,3
203,sure,3
204,flood,3
205,ill,3
206,yes,3
207,dust,3
208,loose,3
209,eternal,3
210,leap,3
211,lying,3
212,hope,3
213,horses,3
214,burned,3
215,seized,3
216,lord,3
217,pale,3
218,distinct,3
219,brain,3
220,indeed,3
221,hate,3
222,huge,3
223,burn,3
224,fool,3
225,funny,3
226,song,3
227,gave,3
228,lifted,3
229,rest,3
230,gently,3
231,learned,3
232,beginning,3
233,sail,3
234,rise,3
235,fell,3
236,sooner,3
237,cut,3
238,big,3
239,certainly,3
240,boats,3
241,cattle,3
242,thousands,3
243,buried,3
244,grave,3
245,fatal,3
246,eternally,3
247,heavenly,3
248,dream,3
249,none,3
250,grief,3
251,darker,3
252,shame,3
253,sick,3
254,answered,3
255,gods,3
256,making,3
257,considerable,3
258,killed,3
259,spirits,3
260,slow,3
261,evening,3
262,breath,3
263,lips,3
264,least,3
265,furnished,3
266,argument,3
267,ahead,3
268,touching,3
269,exactly,3
270,creation,2
271,confident,2
272,tops,2
273,woods,2
274,apart,2
275,hair,2
276,gorgeous,2
277,towns,2
278,properly,2
279,eager,2
280,beating,2
281,throne,2
282,dreaming,2
283,lie,2
284,lives,2
285,asleep,2
286,float,2
287,read,2
288,practical,2
289,havoc,2
290,drowned,2
291,meet,2
292,strength,2
293,sad,2
294,act,2
295,house,2
296,ruin,2
297,pleasure,2
298,observation,2
299,loving,2
300,highest,2
301,toy,2
302,fit,2
303,preparation,2
304,especially,2
305,cowards,2
306,horizon,2
307,lifetime,2
308,sweetness,2
309,ignorance,2
310,fiend,2
311,despair,2
312,bringing,2
313,craft,2
314,crown,2
315,animals,2
316,born,2
317,comfort,2
318,gaze,2
319,instantly,2
320,useful,2
321,bed,2
322,lighting,2
323,seeing,2
324,floating,2
325,infants,2
326,miserable,2
327,rude,2
328,triumph,2
329,cries,2
330,grass,2
331,mother,2
332,uncertain,2
333,desired,2
334,easily,2
335,virgin,2
336,sunset,2
337,rot,2
338,useless,2
339,supplies,2
340,oceans,2
341,cards,2
342,faces,2
343,suffering,2
344,hearts,2
345,wonderful,2
346,start,2
347,favour,2
348,failed,2
349,scar,2
350,degree,2
351,peace,2
352,wasted,2
353,proved,2
354,active,2
355,infinite,2
356,singing,2
357,advance,2
358,sickness,2
359,flying,2
360,fever,2
361,green,2
362,modern,2
363,gives,2
364,danger,2
365,raised,2
366,cursed,2
367,bread,2
368,largest,2
369,belonging,2
370,empty,2
371,dumb,2
372,shock,2
373,rose,2
374,original,2
375,generations,2
376,stroke,2
377,smooth,2
378,avoid,2
379,furniture,2
380,conscience,2
381,beach,2
382,love,2
383,personality,2
384,revealed,2
385,stop,2
386,talking,2
387,energy,2
388,violence,2
389,gold,2
390,skull,2
391,truth,2
392,try,2
393,reached,2
394,child,2
395,ache,2
396,wound,2
397,greater,2
398,fluid,2
399,ready,2
400,fly,2
401,shore,2
402,tree,2
403,hats,2
404,coast,2
405,broke,2
406,alive,2
407,precious,2
408,shop,2
409,islands,2
410,lady,2
411,finish,2
412,pain,2
413,family,2
414,gain,2
415,bad,2
416,coat,2
417,swimming,2
418,captain,2
419,readily,2
420,painted,2
421,sights,2
422,fine,2
423,rum,2
424,pretty,2
425,places,2
426,desirable,2
427,hardly,2
428,sufficient,2
429,touch,2
430,father,2
431,doubt,2
432,success,2
433,rich,2
434,books,2
435,proud,2
436,hey,2
437,blind,2
438,dim,2
439,thinking,2
440,hell,2
441,crushed,2
