,word,frequency
0,all,1435
1,not,1093
2,you,817
3,whale,673
4,me,625
5,my,563
6,like,551
7,more,497
8,up,488
9,no,478
10,old,426
11,we,388
12,will,368
13,down,354
14,sea,349
15,very,308
16,great,277
17,last,276
18,most,270
19,see,246
20,boat,244
21,us,223
22,first,207
23,own,203
24,our,194
25,never,192
26,good,180
27,well,162
28,water,159
29,white,158
30,cried,156
31,eyes,155
32,day,154
33,without,151
34,know,148
35,thought,147
36,world,146
37,boats,136
38,air,134
39,against,132
40,life,130
41,night,126
42,hands,121
43,soon,113
44,found,113
45,full,110
46,think,109
47,make,107
48,sight,104
49,poor,102
50,nothing,99
51,she,98
52,fish,98
53,captain,95
54,face,94
55,high,91
56,dead,90
57,voyage,90
58,right,87
59,sun,86
60,certain,86
61,heart,83
62,indeed,82
63,eye,81
64,always,80
65,present,79
66,soul,79
67,mind,79
68,sail,77
69,seas,77
70,young,75
71,done,74
72,light,74
73,instant,74
74,large,74
75,least,73
76,bed,72
77,true,72
78,living,71
79,land,70
80,give,68
81,cannot,68
82,morning,67
83,myself,67
84,open,67
85,waters,66
86,together,63
87,fire,63
88,best,61
89,live,59
90,mate,59
91,better,59
92,death,58
93,gone,56
94,fine,56
95,home,55
96,dark,54
97,find,53
98,curious,53
99,rest,51
100,ocean,51
101,craft,50
102,blood,50
103,savage,49
104,story,47
105,waves,47
106,forward,46
107,broken,45
108,sleep,45
109,cut,45
110,mine,45
111,fast,45
112,green,45
113,straight,44
114,touching,44
115,sailor,44
116,lost,44
117,especially,44
118,sure,43
119,noble,43
120,chance,43
121,struck,43
122,grand,43
123,making,41
124,caught,41
125,devil,40
126,earth,40
127,calm,40
128,purpose,39
129,cook,39
130,gave,38
131,monster,38
132,cry,38
133,clear,38
134,sailed,38
135,mean,38
136,fixed,37
137,alone,37
138,help,37
139,leaving,37
140,people,37
141,famous,37
142,power,37
143,gentlemen,36
144,art,36
145,sails,36
146,ready,36
147,new,36
148,easy,36
149,legs,35
150,gold,35
151,human,35
152,boy,35
153,fell,35
154,thoughts,34
155,book,34
156,mad,34
157,sailing,33
158,none,33
159,coffin,33
160,top,33
161,idea,33
162,completely,33
163,house,33
164,coast,33
165,shot,33
166,boys,33
167,show,32
168,strong,32
169,low,32
170,drawing,32
171,heaven,32
172,wonder,32
173,hardly,31
174,darkness,31
175,sky,31
176,doubt,31
177,quick,31
178,fair,31
179,visible,31
180,fear,31
181,natural,31
182,brain,31
183,nature,31
184,truth,30
185,die,30
186,soft,30
187,vain,29
188,wood,29
189,rising,29
190,possible,29
191,smoke,29
192,fresh,29
193,act,29
194,late,28
195,glance,28
196,killed,28
197,knows,28
198,touch,28
199,words,28
200,start,28
201,certainly,27
202,try,27
203,dropped,27
204,pretty,27
205,huge,27
206,hope,27
207,ahead,27
208,seeing,27
209,swimming,27
210,born,27
211,altogether,27
212,started,26
213,yourself,26
214,fancy,26
215,strike,26
216,lie,26
217,degree,26
218,giving,26
219,free,26
220,read,26
221,suspended,26
222,considerable,26
223,flying,26
224,complete,25
225,kind,25
226,steady,25
227,woe,25
228,thinking,25
229,skull,25
230,island,25
231,received,25
232,stop,25
233,believe,25
234,chief,25
235,exactly,24
236,rose,24
237,play,24
238,learned,24
239,friend,24
240,coat,23
241,love,23
242,hint,23
243,warm,23
244,gods,23
245,honor,23
246,hearts,23
247,spring,23
248,midnight,23
249,alive,23
250,higher,23
251,yes,23
252,sweet,23
253,strength,23
254,answer,23
255,kill,23
256,game,22
257,grow,22
258,real,22
259,deadly,22
260,wife,22
261,bright,22
262,wonderful,22
263,floating,22
264,lives,21
265,lord,21
266,hair,21
267,terrible,21
268,worse,21
269,original,21
270,battle,21
271,advance,21
272,talk,21
273,raised,20
274,dignity,20
275,hanging,20
276,country,20
277,profound,20
278,terror,20
279,loose,20
280,died,20
281,aboard,20
282,answered,20
283,dim,20
284,lies,20
285,globe,19
286,precise,19
287,truly,19
288,jacket,19
289,smoking,19
290,breeze,19
291,places,19
292,eternal,19
293,sink,19
294,reached,19
295,beginning,19
296,revealed,18
297,rise,18
298,seized,18
299,content,18
300,awful,18
301,sleeping,18
302,gives,18
303,brave,18
304,evening,18
305,gentleman,18
306,swim,18
307,empty,18
308,largest,18
309,horizon,18
310,tree,18
311,precious,18
312,fight,18
313,shore,18
314,meet,18
315,captured,17
316,modern,17
317,picture,17
318,son,17
319,glory,17
320,lips,17
321,drive,17
322,understand,17
323,important,17
324,meaning,17
325,gaze,17
326,instantly,17
327,likewise,17
328,pilot,17
329,fatal,17
330,native,17
331,lying,17
332,madness,16
333,furnished,16
334,cries,16
335,beach,16
336,missing,16
337,pleasant,16
338,wound,16
339,laugh,16
340,foolish,16
341,virtue,16
342,king,16
343,bore,16
344,spite,16
345,scientific,16
346,proved,16
347,forced,16
348,fully,16
349,fit,16
350,heavens,16
351,distinct,16
352,knowing,16
353,thousands,16
354,thinks,16
355,pale,16
356,devils,16
357,clean,16
358,engaged,16
359,cool,16
360,fairly,16
361,golden,16
362,breath,16
363,drink,16
364,interest,16
365,friends,15
366,save,15
367,torn,15
368,employed,15
369,children,15
370,spirit,15
371,secured,15
372,faces,15
373,fail,15
374,rare,15
375,ends,15
376,breaking,15
377,ill,15
378,nearer,15
379,respect,15
380,stroke,15
381,events,15
382,flag,15
383,shock,15
384,doom,15
385,violent,15
386,grass,15
387,numerous,15
388,remember,15
389,troubled,15
390,bad,15
391,apart,15
392,disappeared,15
393,wise,15
394,grown,15
395,helped,15
396,god,15
397,future,14
398,immortal,14
399,foe,14
400,critical,14
401,blind,14
402,holy,14
403,terrific,14
404,afraid,14
405,special,14
406,gained,14
407,dog,14
408,opening,14
409,joy,14
410,sing,14
411,ha,14
412,lifted,14
413,locked,14
414,child,14
415,food,14
416,ring,14
417,behold,14
418,fool,14
419,window,14
420,impossible,14
421,worth,14
422,books,14
423,minds,14
424,oceans,14
425,plenty,14
426,dinner,13
427,honest,13
428,superior,13
429,points,13
430,boots,13
431,remarkable,13
432,proceed,13
433,sinking,13
434,practical,13
435,eager,13
436,dying,13
437,breakfast,13
438,buried,13
439,bird,13
440,horrible,13
441,corpse,13
442,greater,13
443,mankind,13
444,big,13
445,resolved,13
446,gain,13
447,wonders,13
448,sooner,13
449,pictures,13
450,readily,13
451,tore,13
452,colour,13
453,equal,13
454,bread,13
455,sense,13
456,touched,13
457,wish,12
458,strain,12
459,summer,12
460,dumb,12
461,gloom,12
462,speed,12
463,lonely,12
464,conscience,12
465,mother,12
466,broke,12
467,begin,12
468,shoulders,12
469,belonged,12
470,ghost,12
471,sadly,12
472,rock,12
473,dangerous,12
474,connected,12
475,naturally,12
476,greatest,12
477,draw,12
478,arrived,12
479,lead,12
480,knowledge,12
481,falling,12
482,desperate,12
483,keeping,12
484,eating,12
485,social,12
486,wreck,12
487,singing,12
488,painted,12
489,fly,12
490,sights,12
491,offered,12
492,centuries,12
493,luck,12
494,force,12
495,stars,12
496,silver,11
497,receiving,11
498,fashion,11
499,significant,11
500,leading,11
501,drowned,11
502,nights,11
503,snow,11
504,birds,11
