,word,frequency
0,not,601
1,she,492
2,you,468
3,my,254
4,very,233
5,all,229
6,me,185
7,no,180
8,will,166
9,more,125
10,think,106
11,know,85
12,herself,84
13,most,82
14,never,81
15,own,78
16,well,76
17,soon,74
18,dear,72
19,young,71
20,we,68
21,sister,67
22,make,66
23,see,65
24,nothing,64
25,without,63
26,good,62
27,friend,59
28,day,58
29,hope,55
30,always,55
31,first,53
32,family,53
33,great,52
34,cannot,50
35,sure,49
36,better,49
37,wish,48
38,ladies,47
39,myself,47
40,pleasure,47
41,replied,45
42,cried,44
43,love,43
44,us,42
45,house,42
46,father,41
47,sisters,41
48,mother,38
49,indeed,37
50,give,37
51,evening,36
52,thought,36
53,like,36
54,up,35
55,believe,33
56,happy,33
57,daughters,33
58,girls,33
59,happiness,33
60,answer,31
61,morning,29
62,conversation,29
63,dance,29
64,visit,29
65,last,29
66,woman,29
67,party,28
68,certainly,28
69,present,28
70,our,28
71,ball,28
72,done,27
73,brother,26
74,find,26
75,seeing,26
76,fortune,25
77,daughter,25
78,affection,25
79,life,25
80,together,25
81,least,25
82,pride,24
83,down,24
84,people,23
85,kind,23
86,aunt,23
87,girl,23
88,lady,23
89,found,23
90,wife,22
91,ill,22
92,home,22
93,eyes,22
94,everybody,21
95,world,21
96,manners,21
97,idea,21
98,cousin,21
99,country,21
100,friends,21
101,perfectly,21
102,yourself,20
103,invitation,20
104,gave,20
105,making,20
106,possible,20
107,received,20
108,talking,20
109,heart,19
110,dancing,19
111,marriage,19
112,glad,18
113,handsome,18
114,help,18
115,mean,18
116,best,18
117,read,18
118,certain,18
119,honour,18
120,able,18
121,highly,18
122,estate,17
123,impossible,17
124,gentleman,17
125,deal,17
126,husband,17
127,walk,17
128,advantage,17
129,doubt,17
130,satisfied,17
131,walked,17
132,pleased,16
133,rest,16
134,offer,16
135,occasion,16
136,married,16
137,liked,16
138,fair,16
139,determined,15
140,air,15
141,afraid,15
142,book,15
143,care,15
144,imagine,15
145,against,15
146,answered,15
147,wonder,15
148,dinner,15
149,hardly,15
150,sorry,15
151,fine,15
152,new,14
153,partner,14
154,gentlemen,14
155,surprised,14
156,right,14
157,mind,14
158,talk,14
159,absence,14
160,opportunity,13
161,wished,13
162,gone,13
163,listened,13
164,chance,13
165,kindness,13
166,beauty,13
167,favour,13
168,equally,13
169,carriage,13
170,allow,13
171,breakfast,13
172,library,13
173,engaged,13
174,marry,12
175,large,12
176,night,12
177,praise,12
178,paid,12
179,spirits,12
180,live,12
181,exactly,12
182,equal,12
183,comfort,12
184,desire,12
185,giving,12
186,wishes,12
187,respect,12
188,joined,12
189,younger,12
190,understand,12
191,likely,12
192,admiration,12
193,information,11
194,degree,11
195,elegant,11
196,meet,11
197,ready,11
198,pain,11
199,resolved,11
200,superior,11
201,nature,11
202,danced,11
203,proud,11
204,words,11
205,wishing,10
206,hopes,10
207,alone,10
208,accomplished,10
209,express,10
210,assured,10
211,thinking,10
212,promised,10
213,greatest,10
214,pretty,10
215,late,10
216,understanding,10
217,excellent,10
218,design,10
219,wrong,10
220,fixed,10
221,accepted,10
222,interest,10
223,spite,10
224,mistaken,10
225,high,10
226,pleasant,10
227,living,10
228,power,10
229,natural,9
230,sense,9
231,laugh,9
232,prospect,9
233,smiled,9
234,cousins,9
235,hoped,9
236,intimate,9
237,especially,9
238,greatly,9
239,companion,9
240,women,9
241,remember,9
242,chief,9
243,beg,9
244,true,9
245,yours,9
246,real,9
247,suffer,9
248,fancy,9
249,event,9
250,acquainted,9
251,arrival,9
252,dances,9
253,easy,9
254,interesting,9
255,leaving,9
256,join,9
257,walking,9
258,receive,9
259,truth,8
260,sooner,8
261,face,8
262,instantly,8
263,surprise,8
264,eye,8
265,readily,8
266,struck,8
267,mine,8
268,dine,8
269,anxiety,8
270,uncle,8
271,danger,8
272,delight,8
273,books,8
274,thanks,8
275,advice,8
276,lost,8
277,poor,8
278,lose,8
279,avoid,8
280,perfect,8
281,attachment,8
282,plan,8
283,secure,8
284,smile,8
285,connections,8
286,desirable,8
287,children,8
288,vain,8
289,hint,7
290,knowing,7
291,dearest,7
292,caught,7
293,fear,7
294,expression,7
295,likewise,7
296,comfortable,7
297,rich,7
298,forget,7
299,steady,7
300,greater,7
301,nobody,7
302,believed,7
303,receiving,7
304,importance,7
305,promise,7
306,thoughts,7
307,relations,7
308,consideration,7
309,nieces,7
310,play,7
311,offered,7
312,easily,7
313,accept,7
314,worth,7
315,health,7
316,foolish,7
317,acknowledged,7
318,begin,7
319,success,7
320,regret,7
321,dislike,6
322,loss,6
323,provided,6
324,bad,6
325,compassion,6
326,absolutely,6
327,accident,6
328,intelligence,6
329,certainty,6
330,opened,6
331,increased,6
332,wait,6
333,taste,6
334,cards,6
335,meaning,6
336,worse,6
337,comprehend,6
338,invited,6
339,education,6
340,pity,6
341,trust,6
342,story,6
343,window,6
344,possibility,6
345,strong,6
346,game,6
347,clever,6
348,gained,6
349,furniture,6
350,anxious,6
351,waiting,6
352,try,6
353,beautiful,6
354,study,6
355,preference,6
356,resolution,6
357,full,6
358,justice,5
359,music,5
360,leisure,5
361,succeeded,5
362,agreed,5
363,prepared,5
364,persons,5
365,established,5
366,joy,5
367,future,5
368,purchase,5
369,improvement,5
370,clear,5
371,highest,5
372,yes,5
373,please,5
374,light,5
375,safe,5
376,none,5
377,forward,5
378,connected,5
379,capable,5
380,friendship,5
381,sweet,5
382,extraordinary,5
383,favourite,5
384,observe,5
385,knowledge,5
386,argument,5
387,satisfaction,5
388,low,5
389,rational,5
390,arrived,5
391,expressions,5
392,lead,5
393,performance,5
394,female,5
395,ideas,5
396,friendly,5
397,humble,5
398,open,5
399,sight,5
400,introduction,5
401,believing,5
402,reached,5
403,reception,5
404,journey,5
405,purpose,5
406,thankful,5
407,blame,5
408,reading,5
409,deserve,5
410,death,5
411,gives,5
412,choice,5
413,hate,5
414,confidence,5
415,horses,5
416,declined,4
417,eligible,4
418,violent,4
419,profession,4
420,neglect,4
421,begged,4
422,mistake,4
423,satisfy,4
424,removed,4
425,lips,4
426,warm,4
427,excited,4
428,playing,4
429,valuable,4
430,agree,4
431,welcome,4
432,ceremony,4
433,result,4
434,increasing,4
435,relief,4
436,encourage,4
437,child,4
438,picture,4
439,share,4
440,money,4
441,sufficiently,4
442,song,4
443,evil,4
444,acceptable,4
445,listening,4
446,progress,4
447,grateful,4
448,quick,4
449,refuse,4
450,collection,4
451,old,4
452,spirit,4
453,mend,4
454,interested,4
455,properly,4
456,miserable,4
457,arise,4
458,sex,4
459,instrument,4
460,assembled,4
461,service,4
462,pray,4
463,recommended,4
464,proposal,4
465,rain,4
466,punishment,4
467,smiling,4
468,totally,4
469,occasions,4
470,delay,4
471,produced,4
472,altogether,4
473,smiles,4
474,unhappy,4
475,patience,4
476,distress,4
477,proposals,4
478,human,4
479,merit,4
480,trusted,4
481,discovered,4
482,fashion,4
483,freely,4
484,trade,4
485,separation,4
486,complain,4
487,noble,4
488,difficult,4
489,discovery,4
490,dirty,4
491,employed,4
492,useful,4
493,introduced,4
494,fire,4
495,painful,4
496,relate,3
497,servants,3
498,activity,3
499,increase,3
500,fast,3
501,attending,3
